項目,目的・注意事項,ディオクリニック,URARAクリニック,リエートクリニック
クリニック名,正式名称を使用,ディオクリニック,URARAクリニック,リエートクリニック
クリニックコード,英字3-5文字の略称,dio,urara,lieto
ロゴ画像パス,ブランド識別用画像,/images/clinics/dio/dio-logo.jpg,/images/clinics/urara/urara-logo.jpg,/images/clinics/lieto/lieto-logo.jpg
総合評価,5段階評価（小数点1位まで）,4.9,4.6,4.4
実績（成功率）,ダイエット成功率の表示,ダイエット成功率99％,ダイエット成功率94%,ダイエット成功率94%
実績（減量幅）,平均的な減量実績,平均13.7kg減,-,-
特典・キャンペーン,現在の割引や特典情報,今なら12ヶ月分が0円！<br>痩せなければ返金保証あり,今なら最大79%OFF！,最大80%OFF（モニター割引）
比較表特典表示,比較表に表示される特典テキスト,今なら<br>12ヶ月分0円！,今なら<br>最大79%OFF！,最大80%OFF<br>（モニター割引）
人気プラン,主力商品・サービス,脂肪冷却,脂肪冷却,脂肪冷却
医療機器,使用する医療機器一覧,"脂肪冷却,医療用EMS,医療ハイフ,医療ラジオ波","脂肪冷却装置,医療用EMS,医療電磁場装置,医療ラジオ波","脂肪冷却,医療用EMS,医療ハイフ"
注射治療,提供する注射治療一覧,"脂肪溶解注射,サンサム注射,ダイエット点滴,GLP-1,サクセンダ","脂肪溶解注射,ダイエット点滴,GLP-1,オルリスタット,ビグアナイド系薬剤","脂肪溶解注射,ダイエット美容点滴,エクソソーム点滴"
食事指導,栄養管理サポート体制,栄養管理士による指導,管理栄養士による指導,医師監修のもと管理栄養士の指導
モニター割引,モニター制度の割引率,あり（75％OFF）,あり（最大79%OFF）,あり（最大80%OFF）
返金保証,返金保証制度の有無,痩せなかったら返金,痩せなかったら返金,あり（※条件付き）
キャッチコピー,30文字以内の訴求文,症例数50万件以上の実績で安心,ダイエット成功率94％の実績,リバウンドしない率99.8％
公式サイトURL,クリニック公式サイトへのリンク,https://dioclinic.jp/,https://urara-clinic.com/,https://lietoclinic.com/
主な施術内容,提供する主要な施術タイプ,脂肪冷却・医療HIFU,脂肪冷却・脂肪溶解注射,脂肪冷却・医療HIFU・StimSure
対応部位,施術可能な身体部位,顔全体／二の腕／お腹／お尻／太もも／その他,"顔,二の腕,お腹,お尻,太もも,その他","顔,二の腕,お腹,お尻,太もも,その他"
店舗展開地域,展開している都道府県,北海道／宮城／東京／埼玉／神奈川／千葉／愛知／京都／大阪／兵庫／広島／福岡,東京（新宿・銀座）,東京（池袋）
全額返金保証詳細,返金保証の適用条件,他キャンペーンとの併用不可・契約時に同意契約書を結んだ場合のみ適用,他キャンペーンとの併用不可・契約時に同意契約書を結んだ場合のみ適用,他キャンペーンとの併用不可・契約時に同意契約書を結んだ場合のみ適用・コースによって適用条件が異なる
詳細バナー画像,クリニック詳細ページ用バナー,/images/clinics/dio/dio_detail_bnr.jpg,/images/clinics/urara/urara_detail_bnr.jpg,/images/clinics/lieto/lieto_detail_bnr.jpg
画像フォルダパス,クリニック画像の保存場所,/images/clinics/dio/dio_clinic/,/images/clinics/urara/urara_clinic/,/images/clinics/lieto/lieto_clinic/
メインビジュアル,トップページのメイン画像,/images/MV2.jpg（共通）,/images/MV2.jpg（共通）,/images/MV2.jpg（共通）
詳細タイトル,クリニック詳細のメインタイトル,99%が実感した医療痩せ！,次世代医療で理想のボディへ！,最新技術で安心痩身
詳細サブタイトル,詳細ページのサブタイトル,我慢・失敗・リバウンドなし,成功率94%の高い実績,個人に合わせたオーダーメイド施術
詳細機能タグ,特徴を表すタグ（最大9個）,"医療ダイエット,医療痩身,リバウンド防止,医師監修,栄養士指導,切らない痩身,19時以降OK,駅チカ,完全個室","医療ダイエット,医療痩身,リバウンド防止,医師監修,栄養士指導,切らない痩身,19時以降OK,駅チカ","医療ダイエット,医療痩身,リバウンド防止,医師監修,栄養士指導,切らない痩身,安心安全"
メインプラン名,主力プランの名称,医療痩身コース,医療痩身コース,医療痩身コース
メインプラン価格,主力プランの月額料金,月々4,900円,月々9,780円,-
通常価格,割引前の価格,通常価格24,800円,通常価格45,591円,-
割引率,キャンペーン割引率,80%OFF,79%OFF,-
料金詳細,料金プランの詳細説明,"通常価格24,800円<br>80%OFF 月々4,900円","通常価格45,591円<br>79%OFF 月々9,780円",-
営業時間,クリニックの営業時間,"平日11:00〜20:00<br>土日祝日10:00〜19:00<br>休診日：年末年始","平日10:00〜20:00<br>土日祝日10:00〜20:00",-
目安期間,ダイエット目標達成期間,"-5〜10kg：約3ヶ月<br>-10kg以上：約5ヶ月","-5〜10kg：約3ヶ月",-
ポイント1タイトル,訴求ポイント1の見出し,専門家チームが徹底伴走！もう一人で悩まない,専門家チームが徹底サポート！無理な勧誘なしで安心,-
