element_id,region_id,text_content,description
mv-appeal-text1,013,コスパ,MVの左側アピールテキスト1
mv-appeal-text2,013,通いやすさ,MVの右側アピールテキスト2
mv-svg-text1,013,脂肪ダイエット,MVのSVGテキスト1
mv-svg-text2,013,ランキング,MVのSVGテキスト2
mv-appeal-text1,014,コスパ,MVの左側アピールテキスト1
mv-appeal-text2,014,通いやすさ,MVの右側アピールテキスト2
mv-svg-text1,014,脂肪ダイエット,MVのSVGテキスト1
mv-svg-text2,014,ランキング,MVのSVGテキスト2
mv-appeal-text1,027,価格重視,MVの左側アピールテキスト1
mv-appeal-text2,027,アクセス良好,MVの右側アピールテキスト2
mv-svg-text1,027,注射ダイエット,MVのSVGテキスト1
mv-svg-text2,027,ランキング,MVのSVGテキスト2
