No.,カテゴリ,対象となる訴求文言,注釈（※）の内容
1,**実績・効果**,通院者の99%が<br>体重減少効果あり,※最終体重測定2023/2/1～2023/7/31で薬なし、食事指導なしを除く、3ヶ月コース（ビューティー/リピート除く）の契約終了者が対象。効果には個人差があります。初回体重50kg以上or初回BMI25以上の方限定。
2,**実績・効果**,外来実績50万件,※2020年11月～2025年4月の累計数。
3,**キャンペーン**,12ヶ月分 0円,"※支払総額193,992円を64回、月々3,000円に分割し、12ヶ月分（12回分）の分割金が減額されます。※他キャンペーンとの併用不可※当社指定の信販会社で契約をした方限定※コースのみ契約者適用※契約時の申し出のみ有効。"
4,**キャンペーン**,ご来院特典<br>(モニター75%OFFなど),※1～3：他キャンペーンと併用不可／契約時の申し出のみ有効コースご契約者様限定、但し一部コースを除く※3：医師の判断で適用できない場合がございます。
5,**保証制度**,痩せなかったら<br>全額返金保証,※他のキャンペーンの併用不可※初回ご来院時測定体重を元に目標体重を設定し、減量率が50%未満の場合、契約終了を条件に全額返金の適用を受けられます※契約時に同意書契約を結んだ場合のみ適用※落ち幅3.0%での計算に限る※中途解約手数料なし。
6,**保証制度**,痩せなかった分の脂肪買取,※他キャンペーンとの併用不可※初回ご来院時測定体重を元に目標体重を設定し、算出された体重1kg当たり1万円で買取※契約時に同意書契約を結んだ場合のみ適用。
7,**価格**,"月々9,800円～","※当社指定の信販会社を利用した分割の料金。総額34回払いの場合。初回お支払額11,310円。"
8,**医療機器**,医療HIFU<br>(フェイス/ボディ),※効果には個人差があり、リスクとして発赤・腫れ・内出血等。※本治療で用いる医療機器は医薬品医療機器等法上の承認を得ていない未承認医療機器。医師が個人輸入。国内に同一性能の承認機器は無し。
9,**医療注射**,GLP-1ダイエット注射<br>(サクセンダなど),※食欲を抑制する効果が期待できる。※リスクとして吐き気、嘔吐、下痢等。※本治療に用いる医薬品は、国内で糖尿病治療薬として承認されているもの。美容目的での使用は国内未承認であり、自由診療。
10,**医療注射**,脂肪溶解注射<br>（カベリン、サンサム注射）,※効果には個人差があり、リスクとして腫れ、痛み、内出血等。※本治療に用いる医薬品は、医薬品医療機器等法上、承認を得ていない国内未承認医薬品。医師が個人輸入。
11,**医療点滴**,NMN点滴、エクソソーム点滴,※効果には個人差があり、リスクとして血管痛、アレルギー反応等。※本治療に用いる医薬品は、医薬品医療機器等法上、承認を得ていない国内未承認医薬品。医師が個人輸入。
12,**内服薬**,ダイエット薬全般<br>(リベルサス、カナグル等),※本治療に用いる医薬品は、医薬品医療機器等法上の承認を得ていない国内未承認医薬品。医師等が個人輸入の手続きを行っている。国内にも承認医薬品はあるが、目的や効果が異なるため個人輸入したものを処方。
13,**内服薬**,マンジャロ<br>(GLP-1受容体作動薬),※国内で2型糖尿病の効能・効果で承認されている。肥満治療目的での使用は国内未承認。入手経路は医師の個人輸入。同一成分・性能の国内承認医薬品は無し。諸外国で肥満治療薬として承認されている国もある。
